Headline,Main Verbs,Gender,Active.role,Career.related,Facebook.likes,Date
Ryan Reynolds gushes about fatherhood and calls it the best thing to ever happen to him,gush calls happen,m,1,0,375,3.31.2015
"Hey Everyone! Don't you dare call Kit Harington A 'Hunk', Mmmkay? You know nothing!",call know ,m,0,0,172,3.31.2015
British Prime Minister David Cameron Says He's distantly related to Kim Kardashion! What?!,say is,f,0,0,124,3.31.2015
Ciara unveils a topless album cover & a brand new tour! See all her dates - and everything else - Here!,unveil,f,1,1,234,3.31.2015
Have Zayn Malik & Naughty Boy Been plotting his departure from One Direction since last year?! See the tweets and decide for yourself!,plot,m,1,1,292,3.31.2015
Here's what Comedy Central Had to say about new Daily Show Host Trevor Noah's Past Controversial Tweets!!,say,m,0,1,71,3.31.2015
Ellie Goulding & boyfriend Dougie Poynter Take the Next Step in their relationship with badass matching tattoos! See them here!,take,f,1,0,318,3.31.2015
Nick Jonas Gets Into A Fight While Emma Roberts Just Watches on the set of Scream Queens!,get,m,1,1,289,3.31.2015
Louis Tomlinson's 11-Year-Old Sister Epically Burns Naughty Boy for Releasing That Zayn Malik Track!,burn release,m ,0,1,342,3.31.2015
Dina Lohan's Lawyer Mark Jay Heller Is Now Representing the model who claims she was assaulted by Harvey Weinstein! Read his statement HERE!,represent,m,1,1,44,3.31.2015
Blake Shelton & Miranda Lambert Show their support for Little Big Town's song Girl Crush after it was banned form Country Radio!,show ban,m,1,0,359,3.31.2015
Sofia Vergara's Killer Curves have kept her from getting 'ordinary girl' roles,keep,f,0,1,235,3.31.2015
Rihanna's caught staring at Nicki Minaj's Boobs! Fill in the Blank!,is catch staring,f,1,0,2500,3.31.2015
Could Taylor Swift Be Any More Awesome to her fans?! Read about Tay's latest act of kindness here!,is,f,0,1,300,3.31.2015
Jennifer Lopez says 'There will Never Be Another Selena' in response to the 20th anniversary of the singer's tragic death,say,f,1,0,5800,3.31.2015
David beckham may be the cutest dad ever! Listen to the story of his son Brookly's first date (which he also attended) here!,is,m,1,0,1500,3.31.2015
